DAIO	12.62	5.25
DANKY	51.14	11.19
DASTY	121.19	68.12
DBLE	29.5	6.99
DBLEP	30.2	15.96
DBTK	26.54	19.6
DCAI	35.0	1.25
DCOM	44.51	17.49
DCTH	6.35	1.11
DDDC	0.65	0.04
DDMX	32.5	19.29
DECK	166.5	9.75
DELL	173.5	19.75
DENN	11.56	4.84
DGAS	32.19	18.75
DGICB	30.37	17.72
DGII	33.75	26.5
DHIL	113.85	40.4
DIGA	18.0	1.0
DISCB	33.99	26.8
DISK	12.69	3.75
DIVX	31.89	13.3
DJSP	10.0	7.2
DMLP	36.49	28.42
DMND	38.08	28.03
DNBK	15.27	13.89
DNEX	88.39	72.32
DOVR	12.89	3.49
DRAD	13.0	4.14
DRIV	61.37	59.08
DROOY	13.52	1.08
DSCM	70.0	2.4
DSCO	16.25	2.8
DTLK	36.5	6.11
DTPI	107.25	12.0
DUCK	42.06	9.75
DUSA	37.88	6.81
DVAX	10.66	6.4
DXPE	68.27	6.0
DXYN	19.71	13.6
DYII	31.94	3.12
DYNT	5.87	1.17
EBAY	354.25	55.73
EBTX	23.95	14.75
ECBE	35.24	11.3
ECHO	15.32	13.26
ECOL	33.83	3.7
ECPG	26.73	1.35
EDAC	17.5	2.0
EDCI	110.75	34.0
EDGW	44.88	5.27
EDMC	26.98	21.58
EDUC	26.16	5.98
EEI	17.0	7.37
EFII	100.25	25.62
EFOI	15.5	5.0
EFSC	34.0	7.93
EGLE	36.24	22.45
EGOV	78.0	9.21
EHTH	36.89	22.14
EIHI	17.66	16.85
ELMG	33.23	16.0
ELOS	46.91	7.45
ELOY	40.5	5.68
ELRN	55.06	15.64
ELSE	11.55	4.0
EMCF	31.75	28.6
EMIF	33.63	27.26
EMITF	59.57	4.01
EMKR	173.0	10.5
EMMT	23.22	22.17
ENCO	8.5	3.82
ENDP	35.85	9.01
ENOC	50.5	29.26
ENSG	19.25	16.25
ENTN	15.61	13.19
ENTR	8.46	6.36
ENZN	84.12	7.25
EONC	23.12	0.78
EPAY	98.0	7.8
EPIC	17.8	7.63
EPIQ	39.06	3.25
EQIX	121.13	75.37
ERES	50.59	10.74
ERIC	237.88	2.64
ERIE	105.37	51.64
ERII	13.25	5.76
EROC	27.64	17.49
ESBK	37.2	15.0
ESGR	146.81	45.27
ESSX	7.9	7.85
EUBK	22.97	9.1
